Cache: dl1
Size(KB) Applu Art Gzip Mesa Twolf
0 0.0890 0.2509 0.1010 0.0759 0.0685
1 0.0778 0.2506 0.0492 0.0200 0.0182
2 0.0727 0.2506 0.0388 0.0010 0.0073
3 0.0121 0.2506 0.0354 0.0002 0.0034
4 0.0067 0.2506 0.0347 0.0001 0.0017
5 0.0067 0.2506 0.0332 0.0001 0.0007
6 0.0067 0.2504 0.0246 0.0001 0.0002
IPC Applu Art Gzip Mesa Twolf
0  1.3514 0.5309 1.7584 1.9670 2.0314
1  1.3572 0.5310 1.9445 2.1468 2.1928
2  1.3595 0.5310 1.9868 2.2276 2.2408
3  1.3746 0.5310 2.0000 2.2300 2.2568
4  1.3765 0.5310 2.0032 2.2305 2.2683
5  1.3766 0.5305 2.0069 2.2305 2.2767
6  1.3751 0.5291 2.0179 2.2305 2.2843
