Cache: il1
Miss Rate:
Size(KB) Applu Art Gzip Mesa Twolf
0 0.0018 0.0000 0.0051 0.1152 0.1085
1 0.0011 0.0000 0.0001 0.0799 0.0823
2 0.0000 0.0000 0.0000 0.0548 0.0485
3 0.0000 0.0000 0.0000 0.0189 0.0271
4 0.0000 0.0000 0.0000 0.0029 0.0048
5 0.0000 0.0000 0.0000 0.0000 0.0020
6 0.0000 0.0000 0.0000 0.0000 0.0002
IPC:
Size(KB) Applu Art Gzip Mesa Twolf
0 1.3629 0.5309 1.8971 0.8910 0.9375
1 1.3678 0.5310 1.9949 1.1140 1.1142
2 1.3746 0.5310 1.9987 1.3657 1.4651
3 1.3746 0.5310 1.9997 1.8820 1.7942
4 1.3746 0.5310 2.0000 2.2300 2.2568
5 1.3746 0.5310 2.0000 2.2809 2.3297
6 1.3746 0.5310 2.0000 2.2809 2.3715
