Cache: ul2
Size(KB) Applu Art Gzip Mesa Twolf
0 0.1512 0.7254 0.3095 0.0070 0.0450
1 0.1504 0.7253 0.2244 0.0069 0.0109
2 0.1504 0.7253 0.2122 0.0069 0.0032
3 0.1504 0.7253 0.0332 0.0069 0.0030
4 0.1504 0.7253 0.0327 0.0069 0.0030
5 0.1504 0.7253 0.0391 0.0069 0.0031
IPC Applu Art Gzip Mesa Twolf
0  1.3746 0.5310 1.8983 2.2300 2.2309
1  1.3746 0.5310 2.0000 2.2300 2.2568
2  1.3746 0.5310 2.0022 2.2300 2.2630
3  1.3746 0.5310 2.1715 2.2300 2.2631
4  1.3746 0.5310 2.1722 2.2300 2.2631
5  1.3746 0.5310 2.1640 2.2300 2.2631
