Cache: dl1
Miss Rate:
Size(KB) Applu Art Gzip Mesa Twolf
0 0.0284 0.2570 0.0451 0.0094 0.0258
1 0.0172 0.2507 0.0355 0.0008 0.0047
2 0.0121 0.2506 0.0354 0.0002 0.0034
3 0.0121 0.2506 0.0362 0.0002 0.0028
4 0.0102 0.2506 0.0360 0.0002 0.0025
5 0.0086 0.2506 0.0358 0.0002 0.0025
6 0.0077 0.2506 0.0351 0.0003 0.0024
7 0.0073 0.2506 0.0346 0.0004 0.0024
IPC:
Size(KB) Applu Art Gzip Mesa Twolf
0 1.3698 0.5287 1.9248 2.1881 2.1572
1 1.3737 0.5310 2.0003 2.2282 2.2526
2 1.3746 0.5310 2.0000 2.2300 2.2568
3 1.3754 0.5310 1.9967 2.2299 2.2609
4 1.3755 0.5310 1.9976 2.2300 2.2626
5 1.3757 0.5310 1.9985 2.2300 2.2629
6 1.3759 0.5310 2.0016 2.2295 2.2632
7 1.3759 0.5310 2.0034 2.2292 2.2634
